filename,style
AG00TN001,9
AG2CBL001,9
AG2CBL002,5
AG2CBL003,9
AG2CBL004,9
AG2CBL005,22
AG2CBL006,5
AG2CBL007,9
AG2CBL008,2
AG2CBL009,12
AG2CBL010,9
AG2CBL011,9
AG2CBL012,10
AG2CCA001,9
AG2CCT001,9
AG2CCT002,9
AG2CCT003,9
AG2CCT004,16
AG2CCT005,16
AG2CCT006,16
AG2CCT007,9
AG2CCT008,4
AG2CCT009,4
AG2CCT010,9
AG2CDP001,9
AG2CDP002,9
AG2CJK001,4
AG2CJK002,6
AG2CJK003,5
AG2CJK004,9
AG2CJK005,5
AG2CJK006,6
AG2CJK007,5
AG2CJK008,15
AG2CJK009,9
AG2CJK010,4
AG2CJK011,5
AG2CJK012,4
AG2CJP001,9
AG2CKT001,9
AG2CKT002,9
AG2CKT003,3
AG2COP001,20
AG2COP002,9
AG2COP003,5
AG2COP004,9
AG2COP005,20
AG2CPT001,9
AG2CPT002,9
AG2CPT003,9
AG2CPT004,9
AG2CPT005,9
AG2CPT006,4
AG2CPT007,5
AG2CPT008,9
AG2CPT009,9
AG2CTS001,16
AG2CTS002,9
AG2CTS003,5
AG2CVT001,9
AG2CVT002,16
AG2CVT003,5
AG2CWS001,6
AG2CWS002,9
AG2CWS003,5
AG2CWS004,6
AG2CWS006,9
AG2DBL001,9
AG2DCA001,9
AG2DCA002,9
AG2DCT001,16
AG2DCT002,4
AG2DCT003,4
AG2DCT004,9
AG2DCT005,5
AG2DCT006,16
AG2DCT007,16
AG2DCT008,4
AG2DCT009,4
AG2DCT010,9
AG2DCT011,4
AG2DCT012,16
AG2DDP001,9
AG2DDP002,9
AG2DJK001,4
AG2DJK002,9
AG2DJK003,20
AG2DJK004,5
AG2DJP001,9
AG2DJP002,9
AG2DJP0022,9
AG2DJP003,5
AG2DJP004,9
AG2DKT001,8
AG2DKT006,8
AG2DKT007,9
AG2DKT008,9
AG2DKT009,9
AG2DKT010,9
AG2DOP001,2
AG2DPT001,9
AG2DPT002,9
AG2DPT003,9
AG2DPT004,4
AG2DSK001,9
AG2DTS001,3
AG2DTS002,9
AG2DTS003,9
AG2DVT001,3
AG2DVT002,16
AG2DVT003,5
AG2DVT004,5
AG2DVT005,5
AG2DVT006,3
AG2DVT0062,9
AG2DVT007,6
AG2DVT008,9
AG2DVT009,16
AG2DVT010,9
AG2DVT011,9
AG2DWS001,9
AGA1CT001,9
AGA1CT002,16
AGA1CT003,9
AGA1PT001,8
AGA1VT002,2
AGA3CA001,22
AGA3CA002,9
AGA3CA003,9
AGA3CA004,22
AGA3CT001,9
AGA3CT002,9
AGA3CT003,15
AGA3CT004,9
AGA3CT005,9
AGA3CT006,5
AGA3CT007,9
AGA3CT008,9
AGA3CT009,9
AGA3CT010,9
AGA3CT011,9
AGA3CT012,6
AGA3CT013,16
AGA3CT014,5
AGA3CT015,9
AGA3CT016,9
AGA3CT017,9
AGA3DP001,9
AGA3JK001,9
AGA3JK002,17
AGA3JK003,9
AGA3JP001,9
AGA3JP002,9
AGA3JP003,9
AGA3JP004,9
AGA3JP005,9
AGA3JP006,9
AGA3JP007,6
AGA3JP008,9
AGA3JP009,9
AGA3JP010,9
AGA3JP011,6
AGA3JP012,9
AGA3JP013,9
AGA3JP014,9
AGA3JP015,15
AGA3JP016,9
AGA3JP017,9
AGA3JP018,9
AGA3JP019,9
AGA3JP020,6
AGA3JP021,9
AGA3JP023,6
AGA3KT001,9
AGA3KT002,9
AGA3KT003,9
AGA3KT004,20
AGA3KT005,9
AGA3KT006,9
AGA3KT007,9
AGA3KT008,9
AGA3KT009,3
AGA3KT010,9
AGA3KT011,9
AGA3KT012,9
AGA3KT013,9
AGA3KT014,17
AGA3KT015,9
AGA3KT016,9
AGA3KT017,9
AGA3KT018,9
AGA3KT019,9
AGA3KT020,9
AGA3KT021,9
AGA3OP001,9
AGA3OP002,9
AGA3OP003,3
AGA3OP004,9
AGA3OP005,9
AGA3OP006,5
AGA3OP007,9
AGA3PT001,3
AGA3ST001,9
AGA3TS001,9
AGA3TS002,9
AGA3TS003,9
AGA3TS004,9
AGA3TS005,9
AGA3TS006,5
AGA3TS007,9
AGA3TS008,9
AGA3TS009,9
AGA3TS010,9
AGA3TS011,9
AGA3TS012,9
AGA3TS013,9
AGA3TS014,9
AGA3TS015,9
AGA3TS016,9
AGA3TS017,9
AGA3TS018,9
AGA3TS019,9
AGA3TS021,9
AGA3TS022,9
AGA3TS023,9
AGA3TS024,6
AGA3TS025,5
AGA3TS026,9
AGA3TS027,9
AGA3TS028,9
AGA3TS029,9
AGA3TS030,5
AGA3TS031,9
AGA3TS032,9
AGA3VT001,9
AGA3VT002,9
AGA3VT003,6
AGA3VT004,4
AGA7CT001,9
AGA7JK003,9
AGA7JP001,9
AGA7KT001,7
AGA7KT002,9
AGA7KT003,9
AGA7KT004,9
AGA7KT006,9
AGA7KT007,9
AGA7KT008,9
AGA7KT009,5
AGA7KT010,9
AGA7KT011,3
AGA7KT012,17
AGA7KT015,9
AGA7OP001,15
AGA7OP005,9
AGA7OP006,2
AGA7SK001,9
